check,status,value,notes,alert_first_seen_utc,alert_last_seen_utc,alert_consecutive_runs,alert_age_hours,cycle
h_cycle_stale_lock,ok,0,"searched=out\systems\H\live\H_pricing_cycle.lock,out\H_pricing_cycle.lock",,,,,H
h_schema_listing_offer_snapshot,ok,ok,,,,,,H
h_market_context_fill_nonzero,ok,0,buy_box_channel=51; lowest_fba_price=56; lowest_fbm_price=50; offer_count_fba=56; offer_count_fbm=50,,,,,H
h_schema_listing_offer_seller_snapshot,ok,ok,,,,,,H
h_seller_snapshot_landed_non_null_training,ok,0,snapshot empty; expected_empty_reason=no_seller_rows_for_active_lab_skus,,,,,H
h_seller_snapshot_landed_ge_listing,ok,0,snapshot empty; expected_empty_reason=no_seller_rows_for_active_lab_skus,,,,,H
h_seller_snapshot_shipping_non_negative,ok,0,snapshot empty; expected_empty_reason=no_seller_rows_for_active_lab_skus,,,,,H
h_market_snapshot_exists,ok,yes,path out\hos_daily_market_snapshot_latest.csv,,,,,H
h_market_snapshot_rows_10,ok,57,expected_at_least=10,,,,,H
h_market_snapshot_required_columns,ok,0,,,,,,H
h_market_snapshot_no_null_core_fields,ok,0,buy_box_price_used_gross=0; offer_count_fba=0; offer_count_fbm=0,,,,,H
h_market_snapshot_delivery_parity_binary,ok,0,"allowed_values=0,1",,,,,H
h_market_snapshot_econ_anchors_filled,ok,0,training_rows=10; break_even_exvat_gbp=0; break_even_gross_gbp=0; token_cost_exvat_gbp=0; min_price_gross_10pct=0; max_price_gross_current=0,,,,,H
h_market_report_html_exists,ok,yes,path out\reports\hos_daily\hos_daily_report_2026-03-16.html,,,,,H
h_market_report_pdf_exists,ok,yes,path out\reports\hos_daily\hos_daily_report_2026-03-16.pdf,,,,,H
h_market_report_price_charts_count,ok,57,expected_at_least=57,,,,,H
h_market_report_seller_mix_charts_count,ok,57,expected_at_least=57,,,,,H
h_schema_inventory_history,ok,ok,,,,,,H
h_schema_inbound_history,ok,ok,,,,,,H
h_schema_refund_adjustment_history,ok,ok,,,,,,H
h_schema_inventory_snapshot,ok,ok,,,,,,H
h_schema_inbound_snapshot,ok,ok,,,,,,H
h_schema_refund_adjustment_snapshot,ok,ok,,,,,,H
h_listing_offer_history_idempotent_today,ok,0,asof_date=2026-03-17,,,,,H
h_listing_offer_seller_history_idempotent_today,ok,0,no rows for 2026-03-17; expected_empty_reason=no_seller_rows_for_active_lab_skus,,,,,H
h_inventory_history_idempotent_today,ok,0,asof_date=2026-03-17,,,,,H
h_inbound_history_idempotent_today,ok,0,asof_date=2026-03-17,,,,,H
h_refund_adjustment_history_idempotent_today,ok,0,asof_date=2026-03-17,,,,,H
h_ceiling_rule_bbp_missing_trial,ok,skipped_parked,sku=L1-54EX-56YC;date=2026-03-17;reason=PARK_OUT_OF_STOCK,,,,,H
h_ceiling_rule_cpt_missing_trial,ok,skipped_parked,sku=L1-54EX-56YC;date=2026-03-17;reason=PARK_OUT_OF_STOCK,,,,,H
h_ceiling_rule_inputs_missing_trial,ok,skipped_parked,sku=L1-54EX-56YC;date=2026-03-17;reason=PARK_OUT_OF_STOCK,,,,,H
h_scope_non_parked_matches_targets,ok,0,processed=0; non_parked_scope=59; skipped_parked=3; invalid_processed_sample=; state_path=out/systems/H/live/h_pricing_cycle_state.json,,,,,H
h_parked_sku_write_attempts,warn,34,date=2026-03-17; parked_skus=547; parked_rows_today=34; attempt_statuses=APPLIED; park_reasons=PARK_OUT_OF_STOCK; event_time_proof_available=0; severity_basis=out_of_stock_only_no_event_time_proof,2026-03-17T12:28:50.277761+00:00,2026-03-17T15:10:16.428256+00:00,4,2.69,H
h_no_cpt_calls_in_h_cycle,ok,0,date=2026-03-17; endpoint=products_pricing_post_competitive_summary_batch; sample=,,,,,H
h_floor_vat_policy_config,ok,ok,vat_registered=1;recover_input_vat_on_cogs=1;recover_input_vat_on_fees=1;formula_version=vat_registered_exvat_basis_v1;note=Official H floor policy: remove output VAT from sale first; use ex-VAT COGS and fees for floor math.,,,,,H
h_floor_phase1_cogs_basis_drift,ok,0,date=2026-03-17;latest_asof=2026-03-17T15:07:13Z;rows_in_run=59;compared=58;missing_expected=1;expected_source=trace_latest_asof;sample=,,,,,H
h_floor_legacy_cogs_basis_drift,ok,0,date=2026-03-17;rows_today=0;compared=0;sample=,,,,,H
h_floor_no_order_inputs,ok,0,date=2026-03-17;rows_today=5802;sample=,,,,,H
h_floor_referral_band_integrity,ok,0,date=2026-03-17;rows_today=5802;sample=,,,,,H
h_floor_referral_source_coverage,ok,0,date=2026-03-17;rows_today=5802;rows_non_parked=5723;rows_parked=79;missing_rate_pct=0.00;warn_rate_pct=5.00;fail_rate_pct=20.00;sample=,,,,,H
h_floor_referral_source_coverage_parked_observability,ok,0,date=2026-03-17;rows_parked=79;observability_only=1;sample=,,,,,H
h_floor_formula_consistency,ok,0,date=2026-03-17;rows_today=5802;comparable=5802;sample=,,,,,H
