timestamp_utc,asof_date,marketplace,sku,asin,refund_event_count,adjustment_event_count,refund_units,adjustment_units,refund_amount_gbp,adjustment_amount_gbp,source,notes
2026-02-10T00:00:00Z,2026-02-10,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-10T00:00:00Z,2026-02-10,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-10T00:00:00Z,2026-02-10,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-10T00:00:00Z,2026-02-10,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-10T00:00:00Z,2026-02-10,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-10T00:00:00Z,2026-02-10,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-10T00:00:00Z,2026-02-10,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-11T00:00:00Z,2026-02-11,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-12T21:45:47Z,2026-02-12,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-13T13:26:37Z,2026-02-13,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-14T22:06:38Z,2026-02-14,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-15T02:07:05Z,2026-02-15,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,XE-YPAI-HX9F,B086ZD7MG6,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-16T21:37:25Z,2026-02-16,UK,L1-54EX-56YC,B09445GL1C,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,XE-YPAI-HX9F,B086ZD7MG6,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-17T22:17:41Z,2026-02-17,UK,L1-54EX-56YC,B09445GL1C,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,
2026-02-18T20:17:04Z,2026-02-18,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,XE-YPAI-HX9F,B086ZD7MG6,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-18T20:17:04Z,2026-02-18,UK,L1-54EX-56YC,B09445GL1C,0,0,0,0,0,0,SPAPI,
2026-02-19T17:08:05Z,2026-02-19,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,XE-YPAI-HX9F,B086ZD7MG6,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-19T17:08:05Z,2026-02-19,UK,L1-54EX-56YC,B09445GL1C,0,0,0,0,0,0,SPAPI,
2026-02-20T21:30:03Z,2026-02-20,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,XE-YPAI-HX9F,B086ZD7MG6,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-20T21:30:03Z,2026-02-20,UK,L1-54EX-56YC,B09445GL1C,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,XE-YPAI-HX9F,B086ZD7MG6,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-21T23:56:30Z,2026-02-21,UK,L1-54EX-56YC,B09445GL1C,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,XE-YPAI-HX9F,B086ZD7MG6,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-22T03:56:39Z,2026-02-22,UK,L1-54EX-56YC,B09445GL1C,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,XY-UM2X-TPS3,B003VTZAM0,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,TJ-6LOP-OPEU,B08P63MSS9,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,RZ-6ZL9-CZ7J,B075XT2J8X,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,XH-0LAE-FQO5,B00AOES9GE,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,YC-3L3M-BV48,B0CTD6Q6KY,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,XE-YPAI-HX9F,B086ZD7MG6,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-23T21:50:12Z,2026-02-23,UK,L1-54EX-56YC,B09445GL1C,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-24T22:29:43Z,2026-02-24,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-24T22:29:43Z,2026-02-24,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-24T22:29:43Z,2026-02-24,UK,JB-RGB6-LZOJ,B0001P0DLU,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
2026-02-24T22:29:43Z,2026-02-24,UK,VF-3T0K-DR5O,B08KFFY86W,0,0,0,0,0,0,SPAPI,no_financial_events_in_window
